line,chart,root,season,queries
662,癸卯戊午壬寅丙午,NONE,OUT_OF_SEASON,HE-HUASHEN-DESHI|ZHONGGUA-2SIDE
673,辛巳甲午癸卯癸亥,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE
676,己酉丙子癸未戊午,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE|RI-BEI-HE
686,辛酉庚子丙寅癸巳,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
689,辛丑癸巳戊申丙辰,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
692,辛卯辛卯丙子甲午,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
695,庚寅壬午戊午丁巳,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
706,癸酉甲子丁卯丙午,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE
709,戊寅癸亥丁未辛亥,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
712,戊辰乙卯辛丑丁酉,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE
715,己巳丁卯辛卯乙未,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
726,己酉丙寅庚申庚辰,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|JUECHU-FENGSHENG|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE
729,丙申庚寅庚申辛巳,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|JUECHU-FENGSHENG|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE
733,戊子甲寅戊午甲寅,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
736,己亥丙寅戊子甲寅,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
739,戊辰庚申甲子甲子,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|JUECHU-FENGSHENG|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
742,戊午丙辰庚寅丙戌,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
745,癸亥癸亥丁卯癸卯,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE
749,戊辰戊午壬辰甲辰,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
752,庚申庚辰甲戌丙寅,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
755,壬子壬子丙戌戊戌,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
758,壬申丙午庚午丙戌,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
762,癸丑戊午丙午壬辰,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE
765,癸巳戊午丙午壬辰,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|HE-HUASHEN-DESHI|ZHONGGUA-2SIDE
768,戊申癸亥丙午壬辰,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|JUECHU-FENGSHENG|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
771,戊午癸亥丙戌壬辰,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|JUECHU-FENGSHENG|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
774,壬申丁未丁未癸卯,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE
777,甲辰己巳戊辰乙卯,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
780,丙辰辛卯庚申丁丑,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
